iter	Passed	Remaining
0	23	23583
1	50	25306
2	79	26289
3	97	24361
4	126	25190
5	142	23659
6	156	22239
7	183	22796
8	214	23579
9	226	22409
10	263	23658
11	276	22771
12	300	22793
13	333	23486
14	347	22825
15	378	23277
16	399	23090
17	420	22917
18	430	22226
19	463	22725
20	487	22743
21	514	22882
22	528	22456
23	558	22729
24	588	22969
25	622	23329
26	637	22963
27	652	22645
28	674	22576
29	690	22334
30	716	22393
31	728	22040
32	760	22298
33	792	22517
34	819	22607
35	841	22542
36	871	22694
37	884	22398
38	915	22567
39	945	22697
40	982	22980
41	1005	22924
42	1027	22867
43	1073	23324
44	1094	23232
45	1129	23427
46	1154	23406
47	1166	23145
48	1198	23265
49	1211	23019
50	1245	23170
51	1267	23101
52	1290	23058
53	1331	23321
54	1357	23326
55	1392	23477
56	1415	23423
57	1451	23577
58	1476	23546
59	1491	23362
60	1510	23253
61	1538	23280
62	1557	23169
63	1592	23289
64	1627	23418
65	1664	23557
66	1693	23580
67	1729	23704
68	1750	23623
69	1783	23690
70	1821	23832
71	1834	23645
72	1870	23753
73	1902	23809
74	1936	23879
75	1976	24032
76	2012	24118
77	2025	23943
78	2062	24049
79	2077	23892
80	2100	23827
81	2133	23889
82	2193	24236
83	2271	24766
84	2323	25015
85	2381	25310
86	2462	25844
87	2480	25707
88	2517	25767
89	2534	25625
90	2552	25499
91	2570	25371
92	2601	25369
93	2632	25377
94	2663	25371
95	2679	25235
96	2707	25208
97	2724	25079
98	2738	24919
99	2770	24932
100	2788	24819
101	2809	24731
102	2823	24592
103	2841	24478
104	2864	24414
105	2894	24410
106	2924	24407
107	2942	24300
108	3000	24525
109	3035	24556
110	3055	24471
111	3074	24372
112	3091	24265
113	3123	24274
114	3148	24228
115	3168	24149
116	3185	24044
117	3212	24009
118	3246	24035
119	3282	24071
120	3314	24079
121	3325	23930
122	3359	23957
123	3380	23884
124	3413	23896
125	3443	23886
126	3474	23886
127	3492	23790
128	3517	23747
129	3529	23621
130	3556	23595
131	3588	23594
132	3610	23537
133	3634	23486
134	3649	23380
135	3686	23420
136	3697	23288
137	3728	23289
138	3759	23289
139	3843	23612
140	3898	23751
141	3931	23752
142	3947	23656
143	3991	23728
144	4018	23692
145	4050	23694
146	4063	23576
147	4094	23573
148	4125	23560
149	4167	23618
150	4189	23554
151	4231	23608
152	4254	23550
153	4291	23574
154	4319	23547
155	4340	23485
156	4379	23517
157	4402	23463
158	4427	23416
159	4463	23434
160	4497	23435
161	4532	23445
162	4564	23441
163	4587	23384
164	4611	23336
165	4650	23363
166	4663	23261
167	4701	23285
168	4729	23257
169	4763	23258
170	4823	23384
171	4846	23331
172	4868	23273
173	4894	23237
174	4929	23238
175	4949	23171
176	4964	23083
177	4992	23053
178	5017	23011
179	5039	22958
180	5070	22944
181	5105	22946
182	5154	23013
183	5178	22966
184	5197	22897
185	5235	22911
186	5274	22932
187	5301	22895
188	5335	22894
189	5377	22923
190	5405	22894
191	5445	22918
192	5483	22927
193	5507	22882
194	5532	22838
195	5551	22772
196	5575	22726
197	5617	22753
198	5652	22752
199	5677	22710
200	5716	22721
201	5789	22871
202	5820	22853
203	5854	22845
204	5896	22867
205	5929	22854
206	5964	22850
207	5995	22830
208	6027	22810
209	6065	22817
210	6088	22768
211	6111	22717
212	6151	22729
213	6186	22723
214	6228	22741
215	6268	22752
216	6289	22693
217	6324	22686
218	6344	22626
219	6372	22593
220	6406	22582
221	6440	22571
222	6464	22522
223	6488	22479
224	6516	22446
225	6543	22408
226	6554	22321
227	6570	22248
228	6623	22300
229	6667	22320
230	6726	22393
231	6757	22368
232	6771	22289
233	6796	22246
234	6829	22230
235	6840	22145
236	6869	22114
237	6889	22058
238	6914	22015
239	6941	21980
240	6968	21945
241	7000	21928
242	7015	21855
243	7032	21789
244	7049	21723
245	7079	21699
246	7114	21688
247	7143	21662
248	7166	21614
249	7183	21551
250	7219	21542
251	7256	21537
252	7285	21509
253	7306	21459
254	7335	21431
255	7367	21412
256	7405	21409
257	7443	21408
258	7474	21383
259	7504	21357
260	7533	21330
261	7565	21311
262	7601	21300
263	7623	21252
264	7640	21191
265	7677	21184
266	7701	21142
267	7716	21077
268	7750	21062
269	7776	21025
270	7806	20998
271	7829	20954
272	7847	20896
273	7875	20867
274	7886	20792
275	7906	20739
276	7936	20715
277	7956	20665
278	7979	20620
279	8003	20579
280	8027	20539
281	8051	20499
282	8097	20516
283	8118	20467
284	8149	20444
285	8185	20434
286	8245	20484
287	8265	20433
288	8281	20375
289	8319	20369
290	8344	20329
291	8376	20310
292	8401	20273
293	8440	20269
294	8464	20228
295	8498	20212
296	8523	20174
297	8564	20176
298	8599	20160
299	8620	20114
300	8666	20126
301	8701	20110
302	8743	20112
303	8771	20080
304	8799	20052
305	8828	20022
306	8867	20015
307	8898	19993
308	8921	19951
309	8948	19916
310	8977	19889
311	9011	19871
312	9034	19829
313	9079	19836
314	9111	19813
315	9147	19800
316	9175	19769
317	9216	19766
318	9250	19748
319	9284	19730
320	9319	19712
321	9348	19683
322	9368	19635
323	9401	19615
324	9431	19589
325	9459	19556
326	9489	19530
327	9522	19508
328	9549	19475
329	9573	19437
330	9592	19387
331	9614	19344
332	9643	19315
333	9664	19270
334	9687	19230
335	9718	19205
336	9743	19168
337	9773	19142
338	9798	19105
339	9812	19048
340	9837	19011
341	9862	18975
342	9883	18931
343	9904	18886
344	9935	18863
345	9958	18822
346	10007	18833
347	10057	18843
348	10087	18816
349	10110	18776
350	10127	18725
351	10156	18696
352	10185	18669
353	10212	18635
354	10239	18604
355	10273	18584
356	10304	18560
357	10337	18538
358	10367	18510
359	10395	18481
360	10423	18451
361	10451	18419
362	10481	18393
363	10510	18364
364	10539	18336
365	10554	18282
366	10586	18260
367	10605	18213
368	10624	18168
369	10656	18144
370	10686	18117
371	10714	18087
372	10731	18038
373	10798	18075
374	10838	18064
375	10880	18056
376	10915	18038
377	10930	17985
378	10957	17953
379	10985	17924
380	11025	17912
381	11043	17865
382	11069	17831
383	11104	17813
384	11135	17787
385	11175	17776
386	11210	17757
387	11240	17730
388	11266	17696
389	11297	17670
390	11330	17647
391	11353	17609
392	11384	17584
393	11414	17556
394	11445	17529
395	11477	17506
396	11496	17461
397	11529	17438
398	11575	17435
399	11602	17403
400	11624	17364
401	11640	17315
402	11671	17289
403	11698	17258
404	11721	17221
405	11748	17188
406	11777	17160
407	11803	17126
408	11835	17102
409	11865	17074
410	11886	17034
411	11918	17010
412	11949	16984
413	11985	16964
414	12032	16961
415	12059	16929
416	12079	16888
417	12114	16867
418	12158	16860
419	12187	16830
420	12221	16808
421	12241	16767
422	12270	16737
423	12304	16716
424	12328	16680
425	12352	16643
426	12389	16625
427	12407	16582
428	12458	16581
429	12493	16560
430	12514	16522
431	12547	16497
432	12578	16470
433	12612	16448
434	12634	16410
435	12670	16390
436	12707	16371
437	12730	16334
438	12762	16309
439	12791	16280
440	12829	16261
441	12857	16231
442	12887	16203
443	12918	16176
444	12951	16153
445	12987	16132
446	13017	16104
447	13055	16086
448	13090	16063
449	13129	16046
450	13154	16013
451	13167	15963
452	13190	15927
453	13225	15906
454	13261	15884
455	13284	15847
456	13314	15820
457	13344	15792
458	13370	15759
459	13388	15716
460	13406	15674
461	13449	15661
462	13480	15635
463	13514	15611
464	13548	15587
465	13563	15542
466	13579	15498
467	13608	15468
468	13639	15442
469	13670	15415
470	13695	15382
471	13725	15354
472	13758	15328
473	13784	15296
474	13817	15271
475	13838	15233
476	13864	15201
477	13896	15176
478	13918	15139
479	13944	15106
480	13984	15089
481	14017	15064
482	14048	15036
483	14074	15004
484	14096	14968
485	14125	14938
486	14154	14910
487	14178	14875
488	14207	14846
489	14235	14816
490	14288	14811
491	14317	14782
492	14345	14753
493	14373	14722
494	14390	14680
495	14419	14652
496	14433	14607
497	14463	14579
498	14491	14549
499	14511	14511
500	14532	14474
501	14548	14432
502	14578	14404
503	14612	14380
504	14641	14351
505	14663	14315
506	14694	14288
507	14723	14259
508	14753	14232
509	14787	14207
510	14817	14179
511	14844	14149
512	14877	14123
513	14904	14093
514	14945	14075
515	14988	14058
516	15005	14018
517	15030	13985
518	15063	13960
519	15096	13934
520	15121	13902
521	15149	13872
522	15182	13846
523	15212	13819
524	15233	13782
525	15264	13755
526	15289	13723
527	15308	13684
528	15340	13658
529	15371	13630
530	15393	13596
531	15411	13557
532	15434	13523
533	15458	13490
534	15486	13460
535	15514	13430
536	15548	13405
537	15574	13374
538	15602	13344
539	15633	13317
540	15663	13288
541	15688	13257
542	15721	13231
543	15752	13204
544	15773	13168
545	15807	13144
546	15838	13116
547	15868	13088
548	15901	13063
549	15945	13046
550	15977	13019
551	16010	12993
552	16042	12967
553	16078	12944
554	16112	12919
555	16146	12894
556	16181	12869
557	16213	12842
558	16251	12820
559	16285	12795
560	16313	12765
561	16351	12743
562	16376	12711
563	16407	12684
564	16436	12654
565	16475	12633
566	16507	12605
567	16536	12577
568	16560	12543
569	16617	12536
570	16725	12566
571	16804	12573
572	16908	12600
573	16955	12583
574	16989	12557
575	17017	12526
576	17044	12495
577	17082	12472
578	17109	12440
579	17148	12417
580	17182	12391
581	17209	12359
582	17239	12330
583	17270	12302
584	17296	12270
585	17325	12240
586	17356	12211
587	17380	12178
588	17415	12152
589	17446	12123
590	17466	12087
591	17493	12056
592	17522	12026
593	17542	11990
594	17564	11955
595	17597	11928
596	17645	11911
597	17716	11909
598	17759	11888
599	17811	11874
600	17840	11844
601	17870	11814
602	17901	11785
603	17944	11765
604	17971	11733
605	18002	11704
606	18035	11677
607	18070	11650
608	18104	11623
609	18132	11592
610	18161	11562
611	18182	11527
612	18211	11497
